Seed,Ganho,C,k,n
14,3.68,C=50,k=4,n=10
15,3.36,C=50,k=4,n=10
16,1.06,C=50,k=4,n=10
17,2.80,C=50,k=4,n=10
18,3.08,C=50,k=4,n=10
19,2.07,C=50,k=4,n=10
20,1.15,C=50,k=4,n=10
21,0.74,C=50,k=4,n=10
22,0.42,C=50,k=4,n=10
23,2.33,C=50,k=4,n=10
24,2.01,C=50,k=4,n=10
25,0.93,C=50,k=4,n=10
26,1.13,C=50,k=4,n=10
27,-0.30,C=50,k=4,n=10
28,3.32,C=50,k=4,n=10
29,1.93,C=50,k=4,n=10
30,1.41,C=50,k=4,n=10
1,2.80,C=100,k=4,n=10
2,-0.92,C=100,k=4,n=10
3,3.77,C=100,k=4,n=10
4,3.52,C=100,k=4,n=10
5,5.01,C=100,k=4,n=10
6,2.68,C=100,k=4,n=10
7,1.22,C=100,k=4,n=10
8,1.67,C=100,k=4,n=10
9,2.28,C=100,k=4,n=10
10,1.45,C=100,k=4,n=10
11,2.08,C=100,k=4,n=10
12,3.23,C=100,k=4,n=10
13,3.08,C=100,k=4,n=10
14,1.88,C=100,k=4,n=10
15,2.41,C=100,k=4,n=10
16,-0.09,C=100,k=4,n=10
17,2.22,C=100,k=4,n=10
18,1.76,C=100,k=4,n=10
19,5.21,C=100,k=4,n=10
20,2.80,C=100,k=4,n=10
21,1.74,C=100,k=4,n=10
22,2.61,C=100,k=4,n=10
23,3.28,C=100,k=4,n=10
24,2.42,C=100,k=4,n=10
25,3.62,C=100,k=4,n=10
26,1.90,C=100,k=4,n=10
27,2.94,C=100,k=4,n=10
28,3.55,C=100,k=4,n=10
29,2.38,C=100,k=4,n=10
30,3.22,C=100,k=4,n=10
1,2.07,C=50,k=5,n=10
2,3.03,C=50,k=5,n=10
3,1.43,C=50,k=5,n=10
4,2.46,C=50,k=5,n=10
5,1.14,C=50,k=5,n=10
6,1.75,C=50,k=5,n=10
7,0.59,C=50,k=5,n=10
8,3.66,C=50,k=5,n=10
9,1.41,C=50,k=5,n=10
10,2.05,C=50,k=5,n=10
11,1.50,C=50,k=5,n=10
12,3.19,C=50,k=5,n=10
13,1.77,C=50,k=5,n=10
14,2.79,C=50,k=5,n=10
15,2.86,C=50,k=5,n=10
16,1.82,C=50,k=5,n=10
17,1.68,C=50,k=5,n=10
18,2.04,C=50,k=5,n=10
19,2.76,C=50,k=5,n=10
20,1.36,C=50,k=5,n=10
21,0.35,C=50,k=5,n=10
22,0.44,C=50,k=5,n=10
23,1.95,C=50,k=5,n=10
24,1.43,C=50,k=5,n=10
25,0.01,C=50,k=5,n=10
26,1.63,C=50,k=5,n=10
27,0.70,C=50,k=5,n=10
28,1.91,C=50,k=5,n=10
29,0.82,C=50,k=5,n=10
30,0.74,C=50,k=5,n=10
1,2.77,C=100,k=5,n=10
2,1.76,C=100,k=5,n=10
3,5.07,C=100,k=5,n=10
4,2.76,C=100,k=5,n=10
5,4.57,C=100,k=5,n=10
6,1.05,C=100,k=5,n=10
7,1.05,C=100,k=5,n=10
8,-0.43,C=100,k=5,n=10
9,1.97,C=100,k=5,n=10
10,3.84,C=100,k=5,n=10
11,0.36,C=100,k=5,n=10
12,1.51,C=100,k=5,n=10
13,2.76,C=100,k=5,n=10
14,2.68,C=100,k=5,n=10
15,1.75,C=100,k=5,n=10
16,2.60,C=100,k=5,n=10
17,3.48,C=100,k=5,n=10
18,2.46,C=100,k=5,n=10
19,1.59,C=100,k=5,n=10
20,2.50,C=100,k=5,n=10
21,3.61,C=100,k=5,n=10
22,3.25,C=100,k=5,n=10
23,3.17,C=100,k=5,n=10
24,2.70,C=100,k=5,n=10
25,2.77,C=100,k=5,n=10
26,2.27,C=100,k=5,n=10
27,3.01,C=100,k=5,n=10
28,1.90,C=100,k=5,n=10
29,1.47,C=100,k=5,n=10
30,3.30,C=100,k=5,n=10
