Passo,Nível_de_Compartilhamento,Justiça,Satisfação,overallBalance,capacity,kappa,numberOfPeers,NoF,tMin,tMax,delta,seed
138,0.5,0.40094339622641506,0.7880434782608696,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
139,0.5,0.40164220824598185,0.7877697841726619,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
140,0.5,0.40225366876310265,0.7875,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
141,0.5,0.4027777777777778,0.7872340425531915,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
142,0.5,0.4034511784511784,0.7869718309859155,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
143,0.5,0.404040404040404,0.7867132867132867,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
144,0.5,0.40454545454545454,0.7864583333333334,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
145,0.5,0.4051948051948051,0.7862068965517242,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
146,0.5,0.40576298701298696,0.785958904109589,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
147,0.5,0.40625,0.7857142857142857,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
148,0.5,0.4068765664160401,0.785472972972973,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
149,0.5,0.4074248120300752,0.785234899328859,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
150,0.5,0.4078947368421052,0.785,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
151,0.5,0.4084996975196612,0.7847682119205298,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
152,0.5,0.40902903811252267,0.7845394736842105,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
153,0.5,0.4094827586206896,0.7843137254901961,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
154,0.5,0.41006721215663355,0.7840909090909091,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
155,0.5,0.4105786090005844,0.7838709677419355,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
156,0.5,0.4110169491525424,0.7836538461538461,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
157,0.5,0.41158192090395485,0.7834394904458599,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
158,0.5,0.41207627118644075,0.7832278481012658,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
159,0.5,0.4125,0.7830188679245284,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
160,0.5,0.41304644808743163,0.7828125,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
161,0.5,0.4135245901639344,0.782608695652174,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
162,0.5,0.41393442622950816,0.7824074074074074,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
163,0.5,0.41446324695928083,0.7822085889570553,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
164,0.5,0.41492596509783186,0.7820121951219512,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
165,0.5,0.41532258064516125,0.7818181818181819,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
166,0.5,0.4158346134152586,0.7816265060240963,20.999999999999996,8.0,0.5,4,FD-NoF Transitiva,0.75,0.95,0.05,1
